58-1,サーカス,コンドル島,"イタリア
(ガチャ 青 )",風,GK,,121,93,51,66,49,66,52,53,66,21,たまのりピエロ,ラン・ボール・ラン,アルマジロサーカス,ワイバーンクラッシュ,saーkasu
58-2,さあや,福岡,ミニバトル,林,DF,,92,129,53,55,53,57,55,48,51,43,フェイクボンバー,カマイタチ,ちゃぶだいがえし,オーロラドリブル,saaya
58-3,さいうん,ヤマネコ島,"アルゼンチン
(ガチャ: 黄 )",山,GK,,120,92,58,57,53,57,47,57,51,62,プレッシャーパンチ,スーパーしこふみ (B),ちゃぶだいがえし,ザ・マウンテン (B),saiun
58-4,さいごう,京都,"関西 愛媛
(ガチャ: 青 )",山,GK,,117,96,47,51,62,45,53,54,56,63,しこふみ,タフネスブロック,ギガントウォール,ドッグラン,saigou
58-5,さいた,ウミガメ島,ミニバトル,風,MF,,94,136,50,51,54,57,67,56,57,30,マタドールフェイント,うしろのしょうめん,モグラフェイント,ぶんしんフェイント,saita
58-6,さいたま,ウミガメ島,ミニバトル,風,MF,,120,91,57,57,52,56,53,66,57,21,おんりょう,たつまきどくぎり,ライアーショット,まぼろしドリブル,saitama
58-7,さいとう,アルゼンチン,"アルゼンチン
(ガチャ: 青 )",山,FW,,120,85,51,56,47,49,48,51,53,67,すいせいシュート (L),ダイナマイトシュート (C),ヒートタックル,れっぷうダッシュ,saitou
58-8,さいばら,ウミヘビ島,"イギリス
(ガチャ: 青 )",林,GK,,133,102,48,48,52,44,51,48,47,89,トルネードキャッチ,グラビテイション (B),せいぎのてっけん,いかりのてっつい,saibara
58-9,サイバン,奈良,"関西 愛媛
(ガチャ: 赤 )",林,DF,,84,126,49,51,51,51,51,44,48,63,コイルターン,さばきのてっつい (B),メテオシャワー,セキュリティショット,saiban
58-10,サイヒーロ,北東京,"稲妻商店街
(ガチャ: 青 )",林,MF,,122,92,58,56,51,56,51,57,53,28,やくびょうがみ,ブレードアタック,ごりむちゅう,フレイムダンス,saihiーro
59-1,ざいほう,愛媛,"関西 愛媛
(ガチャ: 黄 )",火,DF,,126,108,56,59,56,59,62,60,61,23,ブレードアタック,モグラフェイント,モグラシャッフル,シューティングスター (B),zaihou
59-2,サエ,虎ノ屋,ミニバトル,林,FW,,95,133,48,57,62,46,53,56,56,23,メテオアタック,クロスドライブ (C),デザートストーム,リフレクトバスター,sae
59-3,さえか,虎ノ屋,"大江戸国際空港
(ガチャ: 赤レア )",林,MF,,103,127,58,61,59,60,59,56,56,24,ムーンサルト V2,ローズスプラッシュ (C),グッドスメル,ダッシュストーム (LV60),saeka
59-4,サエッキー,北東京,"商店街
(ガチャ: 黄 )",火,DF,,119,92,52,56,53,56,57,57,57,33,フェイクボール,ごりむちゅう,かげぬい,スリングショット,saekkiー
59-5,さえり,アメリカ,"アメリカ
(ガチャ: 赤 )",林,MF,,100,133,60,60,60,66,60,60,56,0,ジャッジスルー,すいせいシュート (L),グッドスメル,ジャッジスルー２,saeri
59-6,さおり,アメリカ,"アメリカ
(ガチャ: 黄レア )",風,GK,,113,124,56,59,60,58,57,57,59,21,ロケットこぶし,ムーンサルト,ぶんしんブロック,ダブルロケット,saori
59-7,さが,北東京,"稲妻商店街
(ガチャ: 黄 )",火,GK,8,122,101,46,57,55,53,57,62,57,34,ねっけつヘッド,ざんぞう,ドこんじょうキャッチ,スニーキングレイド,saga
59-8,さかい,クジャク島,ミニバトル,風,DF,,119,115,47,53,62,46,57,53,52,63,うしろのしょうめん,ぶんしんフェイント,とうめいフェイント,ツインブースト,sakai
59-9,さかきばら,コンドル島,"イタリア
(ガチャ: 赤 )",山,DF,,118,94,53,57,62,48,56,57,56,23,ザ・ウォール (B),スーパーしこふみ (B),メガウォール (B),スニーキングレイド,sakakibara
59-10,さかした,ジャパン,"ジャパン
(ガチャ: 青 )",風,MF,,121,90,48,50,46,46,50,48,44,96,フリーズショット,どくぎりのじゅつ,ライトニングアクセル,ウォーターベール,sakashita
60-1,さかた,クジャク島,ミニバトル,林,DF,,118,110,44,54,53,51,64,62,51,45,ジャッジスルー,かげぬい,サイクロン,かえんほうしゃ,sakata
60-2,サガミネタ,-,ワイヤレス,林,FW,,136,114,77,71,51,50,52,61,67,19,ダッシュアクセル,リフレクトバスター,シザース・ボム,トライアングルＺ,sagamineta
60-3,さかもと,ウミヘビ島,ミニバトル,風,MF,,124,102,54,54,56,54,58,59,51,43,コイルターン,ホエールガード,なまける,ぶんしんディフェンス,sakamoto
60-4,さがら,セントラル,"ジャパン
(ガチャ: 青 )",火,MF,,122,97,53,56,57,56,57,42,53,53,ゴールずらし,マジック,グレネードショット,イカサマ！,sagara
